user_id,current_funnel_stage,current_funnel_stage_predicted,next_funnel_stage,next_funnel_stage_predicted,ad_type,purchase,sales,date,campaign_type,visit
50001,not aware,not aware,not aware,not aware,branding,0,0,2025-05-08,full_funnel_predicted,1
50002,not aware,not aware,aware,aware,branding,0,0,2025-04-26,full_funnel_predicted,1
50003,not aware,not aware,not aware,not aware,branding,0,0,2025-05-19,full_funnel_predicted,1
50004,not aware,not aware,aware,aware,branding,0,0,2025-05-04,full_funnel_predicted,1
50005,not aware,not aware,not aware,not aware,branding,0,0,2025-04-29,full_funnel_predicted,1
50006,not aware,not aware,aware,aware,branding,0,0,2025-05-11,full_funnel_predicted,1
50007,not aware,aware,not aware,not aware,performance,0,0,2025-05-02,full_funnel_predicted,1
50008,purchase,purchase,purchase,purchase,performance,0,0,2025-05-21,full_funnel_predicted,1
50009,purchase,purchase,purchase,purchase,performance,0,0,2025-04-24,full_funnel_predicted,1
50010,not aware,not aware,not aware,not aware,branding,0,0,2025-04-30,full_funnel_predicted,1
50011,not aware,not aware,not aware,not aware,branding,0,0,2025-05-07,full_funnel_predicted,1
50012,not aware,consider,not aware,purchase,performance,0,0,2025-05-20,full_funnel_predicted,1
50013,not aware,not aware,not aware,not aware,branding,0,0,2025-05-08,full_funnel_predicted,1
50014,not aware,not aware,not aware,consider,branding,0,0,2025-05-06,full_funnel_predicted,1
50015,not aware,not aware,not aware,not aware,branding,0,0,2025-04-29,full_funnel_predicted,1
50016,not aware,not aware,not aware,not aware,branding,0,0,2025-05-26,full_funnel_predicted,1
50017,purchase,purchase,purchase,purchase,performance,0,0,2025-05-07,full_funnel_predicted,1
50018,not aware,not aware,not aware,not aware,branding,0,0,2025-04-26,full_funnel_predicted,1
50019,not aware,not aware,not aware,not aware,branding,0,0,2025-05-06,full_funnel_predicted,1
50020,not aware,not aware,not aware,not aware,branding,0,0,2025-05-24,full_funnel_predicted,1
50021,purchase,consider,purchase,aware,performance,0,0,2025-05-14,full_funnel_predicted,1
50022,not aware,consider,not aware,not aware,performance,0,0,2025-05-24,full_funnel_predicted,1
50023,not aware,not aware,not aware,not aware,branding,0,0,2025-05-14,full_funnel_predicted,1
50024,not aware,not aware,not aware,not aware,branding,0,0,2025-05-09,full_funnel_predicted,1
50025,not aware,not aware,not aware,not aware,branding,0,0,2025-05-19,full_funnel_predicted,1
50026,not aware,purchase,not aware,not aware,performance,0,0,2025-05-24,full_funnel_predicted,1
50027,not aware,not aware,not aware,not aware,branding,0,0,2025-05-25,full_funnel_predicted,1
50028,not aware,not aware,not aware,not aware,branding,0,0,2025-05-12,full_funnel_predicted,1
50029,not aware,not aware,aware,aware,branding,0,0,2025-04-30,full_funnel_predicted,1
50030,not aware,not aware,aware,aware,branding,0,0,2025-05-21,full_funnel_predicted,1
50031,not aware,not aware,aware,aware,branding,0,0,2025-04-26,full_funnel_predicted,1
50032,not aware,not aware,aware,aware,branding,0,0,2025-05-25,full_funnel_predicted,1
50033,not aware,not aware,not aware,not aware,branding,0,0,2025-05-10,full_funnel_predicted,1
50034,not aware,not aware,not aware,not aware,branding,0,0,2025-05-04,full_funnel_predicted,1
50035,purchase,purchase,purchase,purchase,performance,0,0,2025-04-30,full_funnel_predicted,1
50036,not aware,not aware,not aware,not aware,branding,0,0,2025-05-18,full_funnel_predicted,1
50037,aware,aware,aware,aware,performance,0,0,2025-05-12,full_funnel_predicted,1
50038,not aware,not aware,aware,aware,branding,0,0,2025-05-19,full_funnel_predicted,1
50039,not aware,not aware,not aware,not aware,branding,0,0,2025-05-10,full_funnel_predicted,1
50040,not aware,not aware,not aware,not aware,branding,0,0,2025-05-06,full_funnel_predicted,1
50041,not aware,not aware,not aware,not aware,branding,0,0,2025-05-16,full_funnel_predicted,1
50042,not aware,not aware,not aware,not aware,branding,0,0,2025-05-13,full_funnel_predicted,1
50043,not aware,not aware,not aware,not aware,branding,0,0,2025-05-24,full_funnel_predicted,1
50044,not aware,not aware,aware,aware,branding,0,0,2025-05-11,full_funnel_predicted,1
50045,not aware,not aware,aware,aware,branding,0,0,2025-05-18,full_funnel_predicted,1
50046,not aware,not aware,not aware,not aware,branding,0,0,2025-05-25,full_funnel_predicted,1
50047,not aware,not aware,not aware,not aware,branding,0,0,2025-05-04,full_funnel_predicted,1
50048,not aware,not aware,aware,aware,branding,0,0,2025-05-10,full_funnel_predicted,1
50049,not aware,not aware,not aware,aware,branding,0,0,2025-04-30,full_funnel_predicted,1
50050,not aware,not aware,aware,aware,branding,0,0,2025-05-16,full_funnel_predicted,1
50051,not aware,not aware,aware,aware,branding,0,0,2025-05-22,full_funnel_predicted,1
50052,not aware,not aware,aware,aware,branding,0,0,2025-04-30,full_funnel_predicted,1
50053,not aware,not aware,not aware,not aware,branding,0,0,2025-05-10,full_funnel_predicted,1
50054,not aware,not aware,aware,aware,branding,0,0,2025-05-09,full_funnel_predicted,1
50055,purchase,purchase,purchase,purchase,performance,1,100,2025-05-08,full_funnel_predicted,1
50056,not aware,not aware,not aware,not aware,branding,0,0,2025-05-06,full_funnel_predicted,1
50057,aware,aware,aware,not aware,performance,0,0,2025-05-26,full_funnel_predicted,1
50058,not aware,not aware,not aware,aware,branding,0,0,2025-05-08,full_funnel_predicted,1
50059,not aware,not aware,not aware,not aware,branding,0,0,2025-04-30,full_funnel_predicted,1
50060,not aware,not aware,not aware,not aware,branding,0,0,2025-05-15,full_funnel_predicted,1
50061,not aware,not aware,aware,aware,branding,0,0,2025-05-09,full_funnel_predicted,1
50062,not aware,not aware,aware,purchase,branding,0,0,2025-05-15,full_funnel_predicted,1
50063,not aware,not aware,not aware,not aware,branding,0,0,2025-05-16,full_funnel_predicted,1
50064,not aware,consider,not aware,consider,performance,0,0,2025-05-16,full_funnel_predicted,1
50065,not aware,not aware,not aware,not aware,branding,0,0,2025-05-12,full_funnel_predicted,1
50066,not aware,not aware,not aware,not aware,branding,0,0,2025-05-10,full_funnel_predicted,1
50067,consider,consider,purchase,purchase,performance,0,0,2025-05-22,full_funnel_predicted,1
50068,not aware,not aware,aware,aware,branding,0,0,2025-05-15,full_funnel_predicted,1
50069,not aware,not aware,not aware,aware,branding,0,0,2025-05-04,full_funnel_predicted,1
