user_id,current_funnel_stage,current_funnel_stage_predicted,next_funnel_stage,next_funnel_stage_predicted,ad_type,purchase,sales,date,campaign_type,visit
50001,consideration,consideration,consideration,awareness,performance,0,0,2025-04-23,full_funnel_predicted,1
50002,purchase,purchase,purchase,purchase,performance,0,0,2025-04-17,full_funnel_predicted,1
50003,consideration,awareness,consideration,awareness,branding,0,0,2025-04-28,full_funnel_predicted,1
50004,awareness,awareness,consideration,purchase,branding,0,0,2025-04-29,full_funnel_predicted,1
50005,purchase,purchase,purchase,purchase,performance,0,0,2025-05-08,full_funnel_predicted,1
50006,awareness,awareness,awareness,awareness,branding,0,0,2025-04-25,full_funnel_predicted,1
50007,consideration,purchase,consideration,purchase,performance,0,0,2025-05-04,full_funnel_predicted,1
50008,awareness,purchase,awareness,awareness,performance,0,0,2025-04-17,full_funnel_predicted,1
50009,consideration,consideration,purchase,awareness,performance,0,0,2025-04-17,full_funnel_predicted,1
50010,awareness,consideration,awareness,awareness,performance,0,0,2025-05-02,full_funnel_predicted,1
50011,consideration,consideration,consideration,consideration,performance,0,0,2025-04-22,full_funnel_predicted,1
50012,awareness,awareness,awareness,awareness,branding,0,0,2025-05-01,full_funnel_predicted,1
50013,awareness,purchase,awareness,awareness,performance,0,0,2025-05-11,full_funnel_predicted,1
50014,consideration,awareness,consideration,awareness,branding,0,0,2025-04-20,full_funnel_predicted,1
50015,awareness,consideration,awareness,awareness,performance,0,0,2025-05-03,full_funnel_predicted,1
50016,awareness,purchase,awareness,awareness,performance,0,0,2025-05-06,full_funnel_predicted,1
50017,awareness,awareness,consideration,consideration,branding,0,0,2025-04-27,full_funnel_predicted,1
50018,awareness,awareness,awareness,awareness,branding,0,0,2025-05-04,full_funnel_predicted,1
50019,consideration,consideration,consideration,consideration,performance,0,0,2025-04-28,full_funnel_predicted,1
50020,consideration,consideration,consideration,consideration,performance,0,0,2025-04-26,full_funnel_predicted,1
50021,consideration,consideration,consideration,consideration,performance,0,0,2025-04-19,full_funnel_predicted,1
50022,awareness,awareness,awareness,awareness,branding,0,0,2025-04-18,full_funnel_predicted,1
50023,awareness,awareness,awareness,awareness,branding,0,0,2025-04-27,full_funnel_predicted,1
50024,awareness,awareness,consideration,consideration,branding,0,0,2025-04-21,full_funnel_predicted,1
50025,awareness,awareness,consideration,consideration,branding,0,0,2025-05-10,full_funnel_predicted,1
50026,consideration,consideration,consideration,purchase,performance,0,0,2025-04-27,full_funnel_predicted,1
50027,consideration,consideration,purchase,consideration,performance,0,0,2025-04-22,full_funnel_predicted,1
50028,consideration,consideration,consideration,purchase,performance,0,0,2025-05-07,full_funnel_predicted,1
50029,awareness,awareness,awareness,awareness,branding,0,0,2025-04-29,full_funnel_predicted,1
50030,awareness,consideration,awareness,purchase,performance,0,0,2025-05-02,full_funnel_predicted,1
50031,consideration,purchase,consideration,consideration,performance,0,0,2025-04-24,full_funnel_predicted,1
50032,awareness,awareness,awareness,awareness,branding,0,0,2025-05-10,full_funnel_predicted,1
50033,awareness,awareness,consideration,consideration,branding,0,0,2025-04-25,full_funnel_predicted,1
50034,awareness,awareness,consideration,consideration,branding,0,0,2025-05-05,full_funnel_predicted,1
50035,awareness,awareness,awareness,awareness,branding,0,0,2025-04-30,full_funnel_predicted,1
50036,consideration,awareness,consideration,consideration,branding,0,0,2025-04-27,full_funnel_predicted,1
50037,awareness,purchase,consideration,consideration,performance,0,0,2025-04-19,full_funnel_predicted,1
50038,consideration,consideration,consideration,purchase,performance,0,0,2025-04-25,full_funnel_predicted,1
50039,awareness,awareness,consideration,consideration,branding,0,0,2025-04-19,full_funnel_predicted,1
50040,awareness,purchase,awareness,consideration,performance,0,0,2025-05-06,full_funnel_predicted,1
50041,awareness,awareness,awareness,awareness,branding,0,0,2025-05-02,full_funnel_predicted,1
50042,awareness,awareness,consideration,awareness,branding,0,0,2025-05-11,full_funnel_predicted,1
50043,awareness,purchase,awareness,awareness,performance,0,0,2025-05-16,full_funnel_predicted,1
50044,awareness,purchase,awareness,awareness,performance,0,0,2025-05-10,full_funnel_predicted,1
50045,awareness,awareness,consideration,consideration,branding,0,0,2025-05-11,full_funnel_predicted,1
50046,awareness,awareness,consideration,consideration,branding,0,0,2025-05-11,full_funnel_predicted,1
50047,consideration,consideration,purchase,purchase,performance,0,0,2025-05-06,full_funnel_predicted,1
50048,purchase,purchase,purchase,purchase,performance,0,0,2025-05-15,full_funnel_predicted,1
50049,awareness,awareness,consideration,purchase,branding,0,0,2025-04-25,full_funnel_predicted,1
50050,awareness,awareness,awareness,awareness,branding,0,0,2025-05-02,full_funnel_predicted,1
