user_id,current_funnel_stage,next_funnel_stage,ad_type,purchase,sales,date,campaign_type,visit
1,not aware,not aware,none,0,0,2025-05-12,control,1
2,not aware,not aware,none,0,0,2025-04-25,control,1
3,not aware,not aware,none,0,0,2025-05-22,control,1
4,not aware,not aware,none,0,0,2025-05-04,control,1
5,not aware,not aware,none,0,0,2025-05-05,control,1
6,not aware,not aware,none,0,0,2025-05-14,control,1
7,not aware,not aware,none,0,0,2025-05-01,control,1
8,consider,consider,none,0,0,2025-05-19,control,1
9,consider,consider,none,0,0,2025-04-28,control,1
10,not aware,not aware,none,0,0,2025-04-29,control,1
11,not aware,not aware,none,0,0,2025-05-06,control,1
12,not aware,not aware,none,0,0,2025-05-20,control,1
13,not aware,not aware,none,0,0,2025-05-10,control,1
14,not aware,not aware,none,0,0,2025-05-06,control,1
15,not aware,not aware,none,0,0,2025-04-28,control,1
16,not aware,not aware,none,0,0,2025-05-26,control,1
17,consider,consider,none,0,0,2025-05-10,control,1
18,not aware,not aware,none,0,0,2025-04-30,control,1
19,not aware,not aware,none,0,0,2025-05-04,control,1
20,not aware,not aware,none,0,0,2025-05-30,control,1
21,consider,consider,none,0,0,2025-05-13,control,1
22,not aware,aware,none,0,0,2025-05-24,control,1
23,not aware,not aware,none,0,0,2025-05-17,control,1
24,not aware,not aware,none,0,0,2025-05-11,control,1
25,not aware,not aware,none,0,0,2025-05-14,control,1
26,not aware,not aware,none,0,0,2025-05-23,control,1
27,not aware,not aware,none,0,0,2025-05-23,control,1
28,not aware,not aware,none,0,0,2025-05-13,control,1
29,not aware,not aware,none,0,0,2025-04-26,control,1
30,not aware,not aware,none,0,0,2025-05-22,control,1
31,not aware,aware,none,0,0,2025-04-27,control,1
32,not aware,not aware,none,0,0,2025-05-27,control,1
33,not aware,not aware,none,0,0,2025-05-09,control,1
34,not aware,not aware,none,0,0,2025-05-05,control,1
35,consider,consider,none,0,0,2025-04-30,control,1
36,not aware,not aware,none,0,0,2025-05-20,control,1
37,not aware,not aware,none,0,0,2025-05-14,control,1
38,not aware,not aware,none,0,0,2025-05-21,control,1
39,not aware,not aware,none,0,0,2025-05-09,control,1
40,not aware,not aware,none,0,0,2025-05-08,control,1
41,not aware,not aware,none,0,0,2025-05-18,control,1
42,not aware,not aware,none,0,0,2025-05-17,control,1
43,not aware,not aware,none,0,0,2025-05-23,control,1
44,not aware,not aware,none,0,0,2025-05-14,control,1
45,not aware,not aware,none,0,0,2025-05-17,control,1
46,not aware,not aware,none,0,0,2025-05-25,control,1
47,not aware,not aware,none,0,0,2025-05-03,control,1
48,not aware,not aware,none,0,0,2025-05-08,control,1
49,not aware,not aware,none,0,0,2025-05-04,control,1
50,not aware,not aware,none,0,0,2025-05-18,control,1
51,not aware,not aware,none,0,0,2025-05-26,control,1
52,not aware,not aware,none,0,0,2025-04-29,control,1
53,not aware,not aware,none,0,0,2025-05-10,control,1
54,not aware,not aware,none,0,0,2025-05-12,control,1
55,consider,purchase,none,1,100,2025-05-10,control,1
56,not aware,not aware,none,0,0,2025-05-01,control,1
57,not aware,not aware,none,0,0,2025-05-28,control,1
58,not aware,not aware,none,0,0,2025-05-09,control,1
59,not aware,not aware,none,0,0,2025-04-28,control,1
60,not aware,not aware,none,0,0,2025-05-20,control,1
61,not aware,aware,none,0,0,2025-05-11,control,1
62,not aware,not aware,none,0,0,2025-05-17,control,1
63,not aware,not aware,none,0,0,2025-05-15,control,1
64,not aware,not aware,none,0,0,2025-05-21,control,1
65,not aware,aware,none,0,0,2025-05-14,control,1
66,not aware,not aware,none,0,0,2025-05-12,control,1
67,aware,aware,none,0,0,2025-05-21,control,1
68,not aware,not aware,none,0,0,2025-05-15,control,1
69,not aware,not aware,none,0,0,2025-05-11,control,1
70,not aware,not aware,none,0,0,2025-05-03,control,1
71,not aware,not aware,none,0,0,2025-05-23,control,1
72,consider,consider,none,0,0,2025-05-14,control,1
73,not aware,not aware,none,0,0,2025-05-22,control,1
74,not aware,not aware,none,0,0,2025-05-10,control,1
75,consider,consider,none,0,0,2025-05-07,control,1
76,not aware,not aware,none,0,0,2025-05-23,control,1
77,not aware,not aware,none,0,0,2025-05-12,control,1
78,not aware,not aware,none,0,0,2025-05-19,control,1
79,not aware,not aware,none,0,0,2025-05-15,control,1
80,not aware,not aware,none,0,0,2025-05-06,control,1
81,not aware,not aware,none,0,0,2025-04-29,control,1
82,not aware,not aware,none,0,0,2025-05-14,control,1
83,consider,consider,none,0,0,2025-05-15,control,1
84,aware,aware,none,0,0,2025-05-12,control,1
85,not aware,aware,none,0,0,2025-05-02,control,1
86,consider,consider,none,0,0,2025-05-09,control,1
87,aware,aware,none,0,0,2025-05-02,control,1
88,not aware,not aware,none,0,0,2025-05-25,control,1
89,not aware,not aware,none,0,0,2025-05-16,control,1
90,consider,consider,none,0,0,2025-05-18,control,1
91,consider,consider,none,0,0,2025-04-28,control,1
92,consider,consider,none,0,0,2025-05-09,control,1
93,not aware,not aware,none,0,0,2025-05-11,control,1
94,not aware,not aware,none,0,0,2025-05-15,control,1
95,not aware,not aware,none,0,0,2025-05-20,control,1
96,not aware,not aware,none,0,0,2025-05-07,control,1
97,not aware,not aware,none,0,0,2025-05-16,control,1
98,not aware,not aware,none,0,0,2025-05-02,control,1
99,consider,consider,none,0,0,2025-05-20,control,1
100,consider,consider,none,0,0,2025-05-23,control,1
101,consider,consider,none,0,0,2025-05-24,control,1
102,not aware,not aware,none,0,0,2025-05-22,control,1
103,aware,aware,none,0,0,2025-05-23,control,1
104,not aware,not aware,none,0,0,2025-05-21,control,1
105,not aware,aware,none,0,0,2025-05-04,control,1
106,not aware,not aware,none,0,0,2025-05-07,control,1
107,not aware,not aware,none,0,0,2025-05-19,control,1
108,not aware,not aware,none,0,0,2025-05-05,control,1
109,not aware,not aware,none,0,0,2025-05-08,control,1
110,aware,aware,none,0,0,2025-05-22,control,1
111,aware,aware,none,0,0,2025-05-01,control,1
112,not aware,not aware,none,0,0,2025-05-07,control,1
113,not aware,not aware,none,0,0,2025-05-25,control,1
114,not aware,not aware,none,0,0,2025-05-08,control,1
115,not aware,not aware,none,0,0,2025-05-09,control,1
116,not aware,not aware,none,0,0,2025-05-15,control,1
117,not aware,aware,none,0,0,2025-05-11,control,1
118,not aware,not aware,none,0,0,2025-05-16,control,1
119,not aware,not aware,none,0,0,2025-05-29,control,1
120,not aware,aware,none,0,0,2025-05-09,control,1
121,not aware,not aware,none,0,0,2025-05-06,control,1
122,not aware,not aware,none,0,0,2025-05-11,control,1
123,consider,consider,none,0,0,2025-05-24,control,1
124,not aware,not aware,none,0,0,2025-05-12,control,1
125,not aware,not aware,none,0,0,2025-05-16,control,1
126,not aware,not aware,none,0,0,2025-05-24,control,1
127,not aware,not aware,none,0,0,2025-05-23,control,1
128,not aware,not aware,none,0,0,2025-05-24,control,1
129,not aware,not aware,none,0,0,2025-05-13,control,1
130,not aware,not aware,none,0,0,2025-04-26,control,1
131,not aware,not aware,none,0,0,2025-05-20,control,1
132,aware,aware,none,0,0,2025-04-29,control,1
133,not aware,not aware,none,0,0,2025-05-16,control,1
134,not aware,not aware,none,0,0,2025-05-22,control,1
135,not aware,not aware,none,0,0,2025-05-05,control,1
136,not aware,not aware,none,0,0,2025-04-30,control,1
137,not aware,not aware,none,0,0,2025-05-08,control,1
138,not aware,aware,none,0,0,2025-05-25,control,1
139,aware,consider,none,0,0,2025-05-01,control,1
140,not aware,not aware,none,0,0,2025-05-22,control,1
141,not aware,not aware,none,0,0,2025-05-11,control,1
142,not aware,not aware,none,0,0,2025-05-14,control,1
143,consider,consider,none,0,0,2025-05-23,control,1
144,consider,purchase,none,1,100,2025-05-21,control,1
145,not aware,not aware,none,0,0,2025-05-12,control,1
146,not aware,not aware,none,0,0,2025-05-26,control,1
147,aware,aware,none,0,0,2025-05-05,control,1
148,not aware,not aware,none,0,0,2025-05-25,control,1
149,not aware,aware,none,0,0,2025-05-21,control,1
150,consider,consider,none,0,0,2025-05-05,control,1
151,aware,aware,none,0,0,2025-05-17,control,1
152,not aware,not aware,none,0,0,2025-04-27,control,1
153,not aware,not aware,none,0,0,2025-05-10,control,1
154,aware,aware,none,0,0,2025-05-11,control,1
155,not aware,not aware,none,0,0,2025-05-16,control,1
156,not aware,not aware,none,0,0,2025-04-29,control,1
157,not aware,not aware,none,0,0,2025-05-21,control,1
158,aware,aware,none,0,0,2025-04-30,control,1
159,not aware,not aware,none,0,0,2025-05-27,control,1
160,not aware,aware,none,0,0,2025-05-24,control,1
161,not aware,not aware,none,0,0,2025-05-10,control,1
162,not aware,not aware,none,0,0,2025-05-22,control,1
163,not aware,not aware,none,0,0,2025-04-30,control,1
